"","prov","keluar","masuk","latitude","longitude","id_prov"
"1","Aceh",122793,104184,4.695135,96.7493993,11
"2","Bali",126576,205626,-8.4095178,115.188916,51
"3","Banten",291229,1199700,-6.4058172,106.0640179,36
"4","Bengkulu",54945,159887,-3.5778471,102.3463875,17
"5","DI Yogyakarta",440734,298240,-7.8753849,110.4262088,34
"6","DKI Jakarta",1312716,1890592,-6.211544,106.845172,31
"7","Gorontalo",49874,31948,0.6999372,122.4467238,75
"8","Jambi",88997,335300,-1.4851831,102.4380581,15
"9","Jawa Barat",1166040,2364103,-7.090911,107.668887,32
"10","Jawa Tengah",3166469,506374,-7.150975,110.1402594,33
"11","Jawa Timur",1777108,466097,-7.5360639,112.2384017,35
"12","Kalimantan Barat",94722,125909,-0.2787808,111.4752851,61
"13","Kalimantan Selatan",151809,236506,-3.0926415,115.2837585,63
"14","Kalimantan Tengah",58453,238736,-1.6814878,113.3823545,62
"15","Kalimantan Timur",71379,516527,0.5,116.5,64
"16","Kalimantan Utara",22531,79555,2.75,116,65
"17","Kep  Bangka Belitung",68378,88371,-2.7410513,106.4405872,19
"18","Kepulauan Riau",81166,425272,3.9456514,108.1428669,21
"19","Lampung",390655,653056,-4.5585849,105.4068079,18
"20","Maluku",100546,63526,-3.2384616,130.1452734,81
"21","Maluku Utara",30811,50111,1.5709993,127.8087693,82
"22","Nusa Tenggara Barat",91320,72915,-8.6529334,117.3616476,52
"23","Nusa Tenggara Timur",95630,56869,-8.6573819,121.0793705,53
"24","Papua",40946,219214,-4.269928,138.0803529,94
"25","Papua Barat",27242,124198,-1.3361154,133.1747162,91
"26","Riau",155241,895153,0.2933469,101.7068294,14
"27","Sulawesi Barat",52342,83961,-2.8441371,119.2320784,76
"28","Sulawesi Selatan",655833,154501,-3.6687994,119.9740534,73
"29","Sulawesi Tengah",62337,220259,-1.4300254,121.4456179,72
"30","Sulawesi Tenggara",92228,210345,-4.14491,122.174605,74
"31","Sulawesi Utara",98879,88269,0.6246932,123.9750018,71
"32","Sumatera Barat",555502,170149,-0.7399397,100.8000051,13
"33","Sumatera Selatan",367702,456194,-3.3194374,103.914399,16
"34","Sumatera Utara",1086332,257818,2.1153547,99.5450974,12
