"","prov_tinggal","prov_lahir","Jumlah_Migrasi","lat_tinggal","long_tinggal","id_tinggal","lat_lahir","long_lahir","id_lahir"
"1","Aceh","Sumatera Utara",121864,4.695135,96.7493993,11,2.1153547,99.5450974,12
"2","Bali","Nusa Tenggara Barat",26199,-8.4095178,115.188916,51,-8.6529334,117.3616476,52
"3","Bali","Nusa Tenggara Timur",29075,-8.4095178,115.188916,51,-8.6573819,121.0793705,53
"4","Banten","Bengkulu",10507,-6.4058172,106.0640179,36,-3.5778471,102.3463875,17
"5","Banten","Lampung",125726,-6.4058172,106.0640179,36,-4.5585849,105.4068079,18
"6","Banten","Kep  Bangka Belitung",11536,-6.4058172,106.0640179,36,-2.7410513,106.4405872,19
"7","Banten","DKI Jakarta",626632,-6.4058172,106.0640179,36,-6.211544,106.845172,31
"8","Banten","Jawa Barat",472171,-6.4058172,106.0640179,36,-7.090911,107.668887,32
"9","Banten","Jawa Tengah",660094,-6.4058172,106.0640179,36,-7.150975,110.1402594,33
"10","Banten","DI Yogyakarta",86180,-6.4058172,106.0640179,36,-7.8753849,110.4262088,34
"11","Banten","Kalimantan Barat",18781,-6.4058172,106.0640179,36,-0.2787808,111.4752851,61
"12","Bengkulu","Sumatera Selatan",72309,-3.5778471,102.3463875,17,-3.3194374,103.914399,16
"13","Bengkulu","Lampung",38938,-3.5778471,102.3463875,17,-4.5585849,105.4068079,18
"14","DI Yogyakarta","DKI Jakarta",36723,-7.8753849,110.4262088,34,-6.211544,106.845172,31
"15","DI Yogyakarta","Kalimantan Utara",1853,-7.8753849,110.4262088,34,2.75,116,65
"16","DI Yogyakarta","Papua Barat",3024,-7.8753849,110.4262088,34,-1.3361154,133.1747162,91
"17","DI Yogyakarta","Papua",5056,-7.8753849,110.4262088,34,-4.269928,138.0803529,94
"18","DKI Jakarta","Aceh",22544,-6.211544,106.845172,31,4.695135,96.7493993,11
"19","DKI Jakarta","Sumatera Utara",217357,-6.211544,106.845172,31,2.1153547,99.5450974,12
"20","DKI Jakarta","Sumatera Barat",136956,-6.211544,106.845172,31,-0.7399397,100.8000051,13
"21","DKI Jakarta","Riau",21360,-6.211544,106.845172,31,0.2933469,101.7068294,14
"22","DKI Jakarta","Sumatera Selatan",68755,-6.211544,106.845172,31,-3.3194374,103.914399,16
"23","DKI Jakarta","Lampung",83115,-6.211544,106.845172,31,-4.5585849,105.4068079,18
"24","DKI Jakarta","Kep  Bangka Belitung",36599,-6.211544,106.845172,31,-2.7410513,106.4405872,19
"25","DKI Jakarta","Kepulauan Riau",38214,-6.211544,106.845172,31,3.9456514,108.1428669,21
"26","DKI Jakarta","Jawa Barat",765274,-6.211544,106.845172,31,-7.090911,107.668887,32
"27","DKI Jakarta","Jawa Tengah",1356988,-6.211544,106.845172,31,-7.150975,110.1402594,33
"28","DKI Jakarta","DI Yogyakarta",119016,-6.211544,106.845172,31,-7.8753849,110.4262088,34
"29","DKI Jakarta","Jawa Timur",374812,-6.211544,106.845172,31,-7.5360639,112.2384017,35
"30","DKI Jakarta","Banten",198484,-6.211544,106.845172,31,-6.4058172,106.0640179,36
