"","KodeWilayah","latitude","longitude","Provinsi","Ibukota","Julukan","LuasWilayah","JumlahPenduduk","RasioJenisKelamin","KepadatanPenduduk","non_produktif","produktif"
"1",11,4.695135,96.7493993,"ACEH","Banda Aceh","Serambi Mekkah",58163,5002000,99.7,86,4,6
"2",12,2.1153547,99.5450974,"SUMATERA UTARA","Medan","Kota Melayu Deli",72973,13937800,99.6,191,4,6
"3",13,-0.7399397,100.8000051,"SUMATERA BARAT","Padang","Kota Tercinta",41906,5196300,98.9,124,4,6
"4",14,0.2933469,101.7068294,"RIAU","Pekan Baru","Kota Bertuah",86910,6344400,105.5,73,3,7
"5",15,-1.4851831,102.4380581,"JAMBI","Jambi","Bumi melayu",50035,3402400,104.2,68,3,7
"6",16,-3.3194374,103.914399,"SUMATERA SELATAN","Palembang","Bumi Sriwijaya",91503,8052300,103.3,88,3,7
"7",17,-3.5778471,102.3463875,"BENGKULU","Bengkulu","Bumi Raflesia",19946,1874900,104.1,94,3,7
"8",18,-4.5585849,105.4068079,"LAMPUNG","Bandar Lampung","Kota Tapis",34689,8117300,105.2,234,3,7
"9",19,-2.7410513,106.4405872,"KEPULAUAN BANGKA BELITUNG","Pangkal Pinang","Serumpun Sebalai Negeri Berpantun",16343,1372800,108.1,84,3,7
"10",21,3.9456514,108.1428669,"KEPULAUAN RIAU","Tanjung Pinang","Negeri Pantun",8187,1973000,104.4,241,3,7
"11",31,-6.211544,106.845172,"DKI JAKARTA","Jakarta","Kota Metropolitan",664,10177900,101,15328,3,7
"12",32,-7.090911,107.668887,"JAWA BARAT","Bandung","Kota Kembang",35386,46709600,102.8,1320,3,7
"13",33,-7.150975,110.1402594,"JAWA TENGAH","Semarang","Kota Jamu",32790,33774100,98.4,1030,3,7
"14",34,-7.8753849,110.4262088,"DI YOGYAKARTA","Yogyakarta","Kota Gudeg",3134,3679200,97.8,1174,3,7
"15",35,-7.5360639,112.2384017,"JAWA TIMUR","Surabaya","Kota Pahlawan",47783,38847600,97.4,813,3,7
"16",36,-6.4058172,106.0640179,"BANTEN","Serang","Kota Santri",9665,11955200,104.1,1237,3,7
"17",51,-8.4095178,115.188916,"BALI","Denpasar","Pulau Dewata",5784,4152800,101.4,718,3,7
"18",52,-8.6529334,117.3616476,"NUSA TENGGARA BARAT","Mataram","Bumi AlQuran",18598,4835600,94.2,260,3,7
"19",53,-8.6573819,121.0793705,"NUSA TENGGARA TIMUR","Kupang","Kota Multibudaya",48763,5120100,98.2,105,4,6
"20",61,-0.2787808,111.4752851,"KALIMANTAN BARAT","Pontianak","Kota Katulistiwa",145139,4789600,103.8,33,3,7
"21",62,-1.6814878,113.3823545,"KALIMANTAN TENGAH","Palangkaraya","Kota Cantik",155938,2495000,109.3,16,3,7
"22",63,-3.0926415,115.2837585,"KALIMANTAN SELATAN","Banjarmasin","Kota Seribu Sungai",38736,3989800,102.8,103,3,7
"23",64,0.5,116.5,"KALIMANTAN TIMUR","Samarinda","Kota Tepian",150689,4068600,110.3,27,3,7
"24",65,2.75,116,"KALIMANTAN UTARA","Tarakan","Kota Paguntaka",72275,650475,113.2,9,3,7
"25",71,0.6246932,123.9750018,"SULAWESI UTARA","Manado","Kota Tinutuan",13863,2412100,104.2,174,3,7
"26",72,-1.4300254,121.4456179,"SULAWESI TENGAH","Palu","Kota Kaledo",61206,2876700,104.4,47,3,7
"27",73,-3.6687994,119.9740534,"SULAWESI SELATAN","Makassar","Kota Daeng",46815,8520300,95.4,182,3,7
"28",74,-4.14491,122.174605,"SULAWESI TENGGARA","Kendari","Kota Tolaki",37871,2499500,101,66,4,6
"29",75,0.6999372,122.4467238,"GORONTALO","Gorontalo","Kota Serambi Madinah",11220,1133200,100.4,101,3,7
"30",76,-2.8441371,119.2320784,"SULAWESI BARAT","Mamuju","ProvinsI Seribu Sungai",16871,1282200,100.6,76,4,6
"31",81,-3.2384616,130.1452734,"MALUKU","Ambon","Provinsi Seribu Pulau",46847,1686500,101.8,36,4,6
"32",82,1.5709993,127.8087693,"MALUKU UTARA","Sofifi","Kota Ojek",32286,1162300,104.2,36,4,6
"33",94,-4.269928,138.0803529,"PAPUA","Jayapura","Irian Jaya",314940,3149400,111.6,10,3,7
"34",91,-1.3361154,133.1747162,"PAPUA BARAT","Manokwari","Paradise of Papua",96833,871500,111.4,9,3,7
"35",0,NA,NA,"INDONESIA",NA,NA,NA,NA,NA,NA,NA,NA
