id_tinggal;id_lahir;prov_tinggal;prov_lahir;Jumlah Migrasi
ACEH;ACEH;Aceh;Aceh;2396530
ACEH;SUMUT;Aceh;SumateraUtara;63087
ACEH;SUMBAR;Aceh;SumateraBarat;4990
ACEH;RIAU;Aceh;Riau;2265
ACEH;JAMBI;Aceh;Jambi;886
ACEH;SUMSEL;Aceh;SumateraSelatan;1363
ACEH;BENGKULU;Aceh;Bengkulu;407
ACEH;LAMPUNG;Aceh;Lampung;905
ACEH;BABEL;Aceh;Kep.BangkaBelitung;76
ACEH;KEPRI;Aceh;KepulauanRiau;292
ACEH;JAKARTA;Aceh;DKIJakarta;3202
ACEH;JABAR;Aceh;JawaBarat;5120
ACEH;JATENG;Aceh;JawaTengah;13862
ACEH;YOGYA;Aceh;DIYogyakarta;616
ACEH;JATIM;Aceh;JawaTimur;4787
ACEH;BANTEN;Aceh;Banten;1219
ACEH;BALI;Aceh;Bali;215
ACEH;NTB;Aceh;NusaTenggaraBarat;163
ACEH;NTT;Aceh;NusaTenggaraTimur;7
ACEH;KALBAR;Aceh;KalimantanBarat;187
ACEH;KALTENG;Aceh;KalimantanTengah;9
ACEH;KALSEL;Aceh;KalimantanSelatan;294
ACEH;KALTIM;Aceh;KalimantanTimur;3
ACEH;KALUT;Aceh;KalimantanUtara; NA
ACEH;SULUT;Aceh;SulawesiUtara;23
ACEH;SULTENG;Aceh;SulawesiTengah;11
ACEH;SULSEL;Aceh;SulawesiSelatan;102
ACEH;SULTENGG;Aceh;SulawesiTenggara; NA
ACEH;GORONTALO;Aceh;Gorontalo; NA
ACEH;SULBARAT;Aceh;SulawesiBarat; NA
ACEH;MALUKU;Aceh;Maluku;41
ACEH;MALUT;Aceh;MalukuUtara; NA
ACEH;PAPBAR;Aceh;PapuaBarat;52
ACEH;PAPUA;Aceh;Papua; NA
SUMUT;ACEH;Bali;Aceh;163
SUMUT;SUMUT;Bali;SumateraUtara;3783
SUMUT;SUMBAR;Bali;SumateraBarat;802
SUMUT;RIAU;Bali;Riau;294
SUMUT;JAMBI;Bali;Jambi;455
SUMUT;SUMSEL;Bali;SumateraSelatan;840
SUMUT;BENGKULU;Bali;Bengkulu;260
SUMUT;LAMPUNG;Bali;Lampung;3150
SUMUT;BABEL;Bali;Kep.BangkaBelitung; NA
SUMUT;KEPRI;Bali;KepulauanRiau;688
SUMUT;JAKARTA;Bali;DKIJakarta;5173
SUMUT;JABAR;Bali;JawaBarat;15330
SUMUT;JATENG;Bali;JawaTengah;16065
SUMUT;YOGYA;Bali;DIYogyakarta;1719
SUMUT;JATIM;Bali;JawaTimur;117479
SUMUT;BANTEN;Bali;Banten;957
SUMUT;BALI;Bali;Bali;1851764
SUMUT;NTB;Bali;NusaTenggaraBarat;13780
SUMUT;NTT;Bali;NusaTenggaraTimur;12139
SUMUT;KALBAR;Bali;KalimantanBarat;882
SUMUT;KALTENG;Bali;KalimantanTengah;380
SUMUT;KALSEL;Bali;KalimantanSelatan;1439
SUMUT;KALTIM;Bali;KalimantanTimur;872
SUMUT;KALUT;Bali;KalimantanUtara; NA
SUMUT;SULUT;Bali;SulawesiUtara;1871
SUMUT;SULTENG;Bali;SulawesiTengah;876
SUMUT;SULSEL;Bali;SulawesiSelatan;2350
SUMUT;SULTENGG;Bali;SulawesiTenggara;1726
SUMUT;GORONTALO;Bali;Gorontalo;239
SUMUT;SULBARAT;Bali;SulawesiBarat;40
SUMUT;MALUKU;Bali;Maluku;1445
SUMUT;MALUT;Bali;MalukuUtara;117
SUMUT;PAPBAR;Bali;PapuaBarat; NA
SUMUT;PAPUA;Bali;Papua;312
SUMBAR;ACEH;Banten;Aceh;4512
SUMBAR;SUMUT;Banten;SumateraUtara;46261
SUMBAR;SUMBAR;Banten;SumateraBarat;24330
SUMBAR;RIAU;Banten;Riau;3146
SUMBAR;JAMBI;Banten;Jambi;1646
SUMBAR;SUMSEL;Banten;SumateraSelatan;29781
SUMBAR;BENGKULU;Banten;Bengkulu;5045
SUMBAR;LAMPUNG;Banten;Lampung;74161
SUMBAR;BABEL;Banten;Kep.BangkaBelitung;6974
SUMBAR;KEPRI;Banten;KepulauanRiau;2284
SUMBAR;JAKARTA;Banten;DKIJakarta;310280
SUMBAR;JABAR;Banten;JawaBarat;216565
SUMBAR;JATENG;Banten;JawaTengah;313937
SUMBAR;YOGYA;Banten;DIYogyakarta;40382
SUMBAR;JATIM;Banten;JawaTimur;89014
SUMBAR;BANTEN;Banten;Banten;4644439
SUMBAR;BALI;Banten;Bali;2882
SUMBAR;NTB;Banten;NusaTenggaraBarat;4173
SUMBAR;NTT;Banten;NusaTenggaraTimur;1629
SUMBAR;KALBAR;Banten;KalimantanBarat;9181
SUMBAR;KALTENG;Banten;KalimantanTengah;224
SUMBAR;KALSEL;Banten;KalimantanSelatan;2293
SUMBAR;KALTIM;Banten;KalimantanTimur;1217
SUMBAR;KALUT;Banten;KalimantanUtara; NA
SUMBAR;SULUT;Banten;SulawesiUtara;1260
SUMBAR;SULTENG;Banten;SulawesiTengah;561
SUMBAR;SULSEL;Banten;SulawesiSelatan;4516
SUMBAR;SULTENGG;Banten;SulawesiTenggara;30
SUMBAR;GORONTALO;Banten;Gorontalo;674
SUMBAR;SULBARAT;Banten;SulawesiBarat;259
SUMBAR;MALUKU;Banten;Maluku;1344
SUMBAR;MALUT;Banten;MalukuUtara;544
SUMBAR;PAPBAR;Banten;PapuaBarat; NA
SUMBAR;PAPUA;Banten;Papua;595
RIAU;ACEH;Bengkulu;Aceh;927
RIAU;SUMUT;Bengkulu;SumateraUtara;11758
RIAU;SUMBAR;Bengkulu;SumateraBarat;14022
RIAU;RIAU;Bengkulu;Riau;1022
RIAU;JAMBI;Bengkulu;Jambi;2927
RIAU;SUMSEL;Bengkulu;SumateraSelatan;37942
RIAU;BENGKULU;Bengkulu;Bengkulu;756774
RIAU;LAMPUNG;Bengkulu;Lampung;18228
RIAU;BABEL;Bengkulu;Kep.BangkaBelitung;496
RIAU;KEPRI;Bengkulu;KepulauanRiau;566
RIAU;JAKARTA;Bengkulu;DKIJakarta;3547
RIAU;JABAR;Bengkulu;JawaBarat;9530
RIAU;JATENG;Bengkulu;JawaTengah;33664
RIAU;YOGYA;Bengkulu;DIYogyakarta;5725
RIAU;JATIM;Bengkulu;JawaTimur;15693
RIAU;BANTEN;Bengkulu;Banten;1433
RIAU;BALI;Bengkulu;Bali;605
RIAU;NTB;Bengkulu;NusaTenggaraBarat; NA
RIAU;NTT;Bengkulu;NusaTenggaraTimur; NA
RIAU;KALBAR;Bengkulu;KalimantanBarat;305
RIAU;KALTENG;Bengkulu;KalimantanTengah;351
RIAU;KALSEL;Bengkulu;KalimantanSelatan; NA
RIAU;KALTIM;Bengkulu;KalimantanTimur;63
RIAU;KALUT;Bengkulu;KalimantanUtara;250
RIAU;SULUT;Bengkulu;SulawesiUtara;161
RIAU;SULTENG;Bengkulu;SulawesiTengah;54
RIAU;SULSEL;Bengkulu;SulawesiSelatan;396
RIAU;SULTENGG;Bengkulu;SulawesiTenggara; NA
RIAU;GORONTALO;Bengkulu;Gorontalo; NA
RIAU;SULBARAT;Bengkulu;SulawesiBarat; NA
RIAU;MALUKU;Bengkulu;Maluku;103
RIAU;MALUT;Bengkulu;MalukuUtara; NA
RIAU;PAPBAR;Bengkulu;PapuaBarat;119
RIAU;PAPUA;Bengkulu;Papua; NA
JAMBI;ACEH;DIYogyakarta;Aceh;2533
JAMBI;SUMUT;DIYogyakarta;SumateraUtara;4169
JAMBI;SUMBAR;DIYogyakarta;SumateraBarat;1688
JAMBI;RIAU;DIYogyakarta;Riau;3042
