"","KodeWilayah","latitude","longitude","Provinsi","X2016","X2015","X2014","X2013","X2010","X2009","X2008","X2007","X2006","X2005","X2004","X2003","X2002","X2000"
"1",11,4.695135,96.7493993,"ACEH",88,86,85,83,78,77,76,75,78,72,77,81,78,68
"2",12,2.1153547,99.5450974,"SUMATERA UTARA",193,191,189,186,179,182,180,177,172,171,167,162,162,160
"3",13,-0.7399397,100.8000051,"SUMATERA BARAT",125,124,122,121,116,114,113,111,108,108,102,104,100,101
"4",14,0.2933469,101.7068294,"RIAU",75,73,71,69,64,60,59,58,54,55,62,59,57,45
"5",15,-1.4851831,102.4380581,"JAMBI",69,68,67,66,62,62,61,60,50,58,49,48,47,48
"6",16,-3.3194374,103.914399,"SUMATERA SELATAN",89,88,87,85,82,120,118,116,74,113,71,70,78,68
"7",17,-3.5778471,102.3463875,"BENGKULU",96,94,93,91,86,84,83,82,79,79,80,77,84,73
"8",18,-4.5585849,105.4068079,"LAMPUNG",237,234,232,229,220,199,196,193,204,188,203,196,195,194
"9",19,-2.7410513,106.4405872,"KEPULAUAN BANGKA BELITUNG",85,84,82,80,75,69,68,67,66,65,59,61,57,55
"10",21,3.9456514,108.1428669,"KEPULAUAN RIAU",247,241,234,227,206,187,180,172,15,158,NA,NA,NA,127
"11",31,-6.211544,106.845172,"DKI JAKARTA",15478,15328,15173,15015,14518,12459,12355,12245,13499,12012,13006,12985,12623,12592
"12",32,-7.090911,107.668887,"JAWA BARAT",1339,1320,1301,1282,1222,1124,1108,1092,1146,1060,1109,1100,1074,1010
"13",33,-7.150975,110.1402594,"JAWA TENGAH",1037,1030,1022,1014,989,1002,995,987,989,972,976,987,977,952
"14",34,-7.8753849,110.4262088,"DI YOGYAKARTA",1188,1174,1161,1147,1107,1118,1107,1096,1064,1074,1020,1007,993,996
"15",35,-7.5360639,112.2384017,"JAWA TIMUR",817,813,808,803,786,798,794,790,764,781,739,756,735,727
"16",36,-6.4058172,106.0640179,"BANTEN",1263,1237,1211,1185,1106,1085,1065,1045,1066,1006,1047,1038,996,838
"17",51,-8.4095178,115.188916,"BALI",727,718,710,702,676,652,645,639,609,625,592,596,573,545
"18",52,-8.6529334,117.3616476,"NUSA TENGGARA BARAT",264,260,257,254,243,225,221,218,211,211,213,199,206,216
"19",53,-8.6573819,121.0793705,"NUSA TENGGARA TIMUR",107,105,103,102,97,100,98,96,92,93,86,86,83,78
"20",61,-0.2787808,111.4752851,"KALIMANTAN BARAT",33,33,32,32,30,36,35,35,28,34,29,27,29,27
"21",62,-1.6814878,113.3823545,"KALIMANTAN TENGAH",17,16,16,16,14,14,13,13,13,13,14,12,13,12
"22",63,-3.0926415,115.2837585,"KALIMANTAN SELATAN",105,103,101,99,94,90,89,87,77,85,73,73,70,77
"23",64,0.5,116.5,"KALIMANTAN TIMUR",27,27,26,19,17,16,16,16,13,15,12,12,11,12
"24",65,2.75,116,"KALIMANTAN UTARA",9,9,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25",71,0.6246932,123.9750018,"SULAWESI UTARA",176,174,172,170,164,160,158,157,141,154,138,140,134,144
"26",72,-1.4300254,121.4456179,"SULAWESI TENGAH",47,47,46,45,43,36,36,35,37,34,37,35,36,35
"27",73,-3.6687994,119.9740534,"SULAWESI SELATAN",184,182,180,179,173,171,169,167,87,162,135,132,133,153
"28",74,-4.14491,122.174605,"SULAWESI TENGGARA",67,66,64,63,59,58,56,55,52,53,53,49,51,48
"29",75,0.6999372,122.4467238,"GORONTALO",102,101,99,98,93,81,80,79,77,77,71,72,70,74
"30",76,-2.8441371,119.2320784,"SULAWESI BARAT",78,76,75,74,69,63,61,61,11,59,NA,NA,NA,53
"31",81,-3.2384616,130.1452734,"MALUKU",37,36,35,35,33,29,28,27,27,27,26,26,25,25
"32",82,1.5709993,127.8087693,"MALUKU UTARA",37,36,36,35,33,25,24,24,30,23,28,28,24,25
"33",94,-4.269928,138.0803529,"PAPUA",10,10,10,10,9,7,7,7,8,6,7,6,6,5
"34",91,-1.3361154,133.1747162,"PAPUA BARAT",9,9,9,9,8,6,6,6,22,6,NA,NA,NA,5
"35",0,NA,NA,"INDONESIA",135,134,132,130,124,124,123,121,118,118,114,114,112,107
