id_tinggal;id_lahir;prov_tinggal;prov_lahir;Jumlah Migrasi
ACEH;ACEH;Aceh;Aceh;2387040
ACEH;SUMUT;Aceh;Sumatera Utara;58777
ACEH;SUMBAR;Aceh;Sumatera Barat;6651
ACEH;RIAU;Aceh;Riau;2252
ACEH;JAMBI;Aceh;Jambi;375
ACEH;SUMSEL;Aceh;Sumatera Selatan;1560
ACEH;BENGKULU;Aceh;Bengkulu;469
ACEH;LAMPUNG;Aceh;Lampung;1143
ACEH;BABEL;Aceh;Kep  Bangka Belitung;101
ACEH;KEPRI;Aceh;Kepulauan Riau;378
ACEH;JAKARTA;Aceh;DKI Jakarta;2928
ACEH;JABAR;Aceh;Jawa Barat;4370
ACEH;JATENG;Aceh;Jawa Tengah;14793
ACEH;YOGYA;Aceh;DI Yogyakarta;777
ACEH;JATIM;Aceh;Jawa Timur;6361
ACEH;BANTEN;Aceh;Banten;893
ACEH;BALI;Aceh;Bali;NA
ACEH;NTB;Aceh;Nusa Tenggara Barat;403
ACEH;NTT;Aceh;Nusa Tenggara Timur;194
ACEH;KALBAR;Aceh;Kalimantan Barat;14
ACEH;KALTENG;Aceh;Kalimantan Tengah;NA
ACEH;KALSEL;Aceh;Kalimantan Selatan;640
ACEH;KALTIM;Aceh;Kalimantan Timur;494
ACEH;KALUT;Aceh;Kalimantan Utara;NA
ACEH;SULUT;Aceh;Sulawesi Utara;NA
ACEH;SULTENG;Aceh;Sulawesi Tengah;75
ACEH;SULSEL;Aceh;Sulawesi Selatan;693
ACEH;SULTENGG;Aceh;Sulawesi Tenggara;75
ACEH;GORONTALO;Aceh;Gorontalo;83
ACEH;SULBARAT;Aceh;Sulawesi Barat;75
ACEH;MALUKU;Aceh;Maluku;11
ACEH;MALUT;Aceh;Maluku Utara;NA
ACEH;PAPBAR;Aceh;Papua Barat;NA
ACEH;PAPUA;Aceh;Papua;49
SUMUT;ACEH;Bali;Aceh;240
SUMUT;SUMUT;Bali;Sumatera Utara;4100
SUMUT;SUMBAR;Bali;Sumatera Barat;1755
SUMUT;RIAU;Bali;Riau;353
SUMUT;JAMBI;Bali;Jambi;524
SUMUT;SUMSEL;Bali;Sumatera Selatan;1200
SUMUT;BENGKULU;Bali;Bengkulu;NA
SUMUT;LAMPUNG;Bali;Lampung;2467
SUMUT;BABEL;Bali;Kep  Bangka Belitung;149
SUMUT;KEPRI;Bali;Kepulauan Riau;1125
SUMUT;JAKARTA;Bali;DKI Jakarta;6357
SUMUT;JABAR;Bali;Jawa Barat;12090
SUMUT;JATENG;Bali;Jawa Tengah;15313
SUMUT;YOGYA;Bali;DI Yogyakarta;3970
SUMUT;JATIM;Bali;Jawa Timur;130800
SUMUT;BANTEN;Bali;Banten;685
SUMUT;BALI;Bali;Bali;1868313
SUMUT;NTB;Bali;Nusa Tenggara Barat;12419
SUMUT;NTT;Bali;Nusa Tenggara Timur;16936
SUMUT;KALBAR;Bali;Kalimantan Barat;566
SUMUT;KALTENG;Bali;Kalimantan Tengah;205
SUMUT;KALSEL;Bali;Kalimantan Selatan;292
SUMUT;KALTIM;Bali;Kalimantan Timur;697
SUMUT;KALUT;Bali;Kalimantan Utara;35
SUMUT;SULUT;Bali;Sulawesi Utara;823
SUMUT;SULTENG;Bali;Sulawesi Tengah;916
SUMUT;SULSEL;Bali;Sulawesi Selatan;2293
SUMUT;SULTENGG;Bali;Sulawesi Tenggara;552
SUMUT;GORONTALO;Bali;Gorontalo;194
SUMUT;SULBARAT;Bali;Sulawesi Barat;137
SUMUT;MALUKU;Bali;Maluku;755
SUMUT;MALUT;Bali;Maluku Utara;NA
SUMUT;PAPBAR;Bali;Papua Barat;NA
SUMUT;PAPUA;Bali;Papua;867
SUMBAR;ACEH;Banten;Aceh;7446
SUMBAR;SUMUT;Banten;Sumatera Utara;49920
SUMBAR;SUMBAR;Banten;Sumatera Barat;34824
SUMBAR;RIAU;Banten;Riau;3874
SUMBAR;JAMBI;Banten;Jambi;3419
SUMBAR;SUMSEL;Banten;Sumatera Selatan;26372
SUMBAR;BENGKULU;Banten;Bengkulu;5462
SUMBAR;LAMPUNG;Banten;Lampung;51565
SUMBAR;BABEL;Banten;Kep  Bangka Belitung;4562
SUMBAR;KEPRI;Banten;Kepulauan Riau;1918
SUMBAR;JAKARTA;Banten;DKI Jakarta;316352
SUMBAR;JABAR;Banten;Jawa Barat;255606
SUMBAR;JATENG;Banten;Jawa Tengah;346157
SUMBAR;YOGYA;Banten;DI Yogyakarta;45798
SUMBAR;JATIM;Banten;Jawa Timur;95630
SUMBAR;BANTEN;Banten;Banten;4798345
SUMBAR;BALI;Banten;Bali;2413
SUMBAR;NTB;Banten;Nusa Tenggara Barat;5762
SUMBAR;NTT;Banten;Nusa Tenggara Timur;3581
SUMBAR;KALBAR;Banten;Kalimantan Barat;9600
SUMBAR;KALTENG;Banten;Kalimantan Tengah;281
SUMBAR;KALSEL;Banten;Kalimantan Selatan;2395
SUMBAR;KALTIM;Banten;Kalimantan Timur;882
SUMBAR;KALUT;Banten;Kalimantan Utara;NA
SUMBAR;SULUT;Banten;Sulawesi Utara;1305
SUMBAR;SULTENG;Banten;Sulawesi Tengah;1960
SUMBAR;SULSEL;Banten;Sulawesi Selatan;6959
SUMBAR;SULTENGG;Banten;Sulawesi Tenggara;718
SUMBAR;GORONTALO;Banten;Gorontalo;424
SUMBAR;SULBARAT;Banten;Sulawesi Barat;437
SUMBAR;MALUKU;Banten;Maluku;1453
SUMBAR;MALUT;Banten;Maluku Utara;831
SUMBAR;PAPBAR;Banten;Papua Barat;1105
SUMBAR;PAPUA;Banten;Papua;392
RIAU;ACEH;Bengkulu;Aceh;1284
RIAU;SUMUT;Bengkulu;Sumatera Utara;12479
RIAU;SUMBAR;Bengkulu;Sumatera Barat;14317
RIAU;RIAU;Bengkulu;Riau;1056
RIAU;JAMBI;Bengkulu;Jambi;4460
RIAU;SUMSEL;Bengkulu;Sumatera Selatan;34367
RIAU;BENGKULU;Bengkulu;Bengkulu;778321
RIAU;LAMPUNG;Bengkulu;Lampung;20710
RIAU;BABEL;Bengkulu;Kep  Bangka Belitung;164
RIAU;KEPRI;Bengkulu;Kepulauan Riau;160
RIAU;JAKARTA;Bengkulu;DKI Jakarta;3684
RIAU;JABAR;Bengkulu;Jawa Barat;11214
RIAU;JATENG;Bengkulu;Jawa Tengah;42176
RIAU;YOGYA;Bengkulu;DI Yogyakarta;6952
RIAU;JATIM;Bengkulu;Jawa Timur;19699
RIAU;BANTEN;Bengkulu;Banten;2908
RIAU;BALI;Bengkulu;Bali;436
RIAU;NTB;Bengkulu;Nusa Tenggara Barat;55
RIAU;NTT;Bengkulu;Nusa Tenggara Timur;NA
RIAU;KALBAR;Bengkulu;Kalimantan Barat;391
RIAU;KALTENG;Bengkulu;Kalimantan Tengah;NA
RIAU;KALSEL;Bengkulu;Kalimantan Selatan;78
RIAU;KALTIM;Bengkulu;Kalimantan Timur;NA
RIAU;KALUT;Bengkulu;Kalimantan Utara;116
RIAU;SULUT;Bengkulu;Sulawesi Utara;NA
RIAU;SULTENG;Bengkulu;Sulawesi Tengah;NA
RIAU;SULSEL;Bengkulu;Sulawesi Selatan;199
RIAU;SULTENGG;Bengkulu;Sulawesi Tenggara;NA
RIAU;GORONTALO;Bengkulu;Gorontalo;NA
RIAU;SULBARAT;Bengkulu;Sulawesi Barat;NA
RIAU;MALUKU;Bengkulu;Maluku;206
RIAU;MALUT;Bengkulu;Maluku Utara;NA
RIAU;PAPBAR;Bengkulu;Papua Barat;5
RIAU;PAPUA;Bengkulu;Papua;NA
JAMBI;ACEH;DI Yogyakarta;Aceh;1745
JAMBI;SUMUT;DI Yogyakarta;Sumatera Utara;5125
JAMBI;SUMBAR;DI Yogyakarta;Sumatera Barat;4141
JAMBI;RIAU;DI Yogyakarta;Riau;2708
JAMBI;JAMBI;DI Yogyakarta;Jambi;2496
JAMBI;SUMSEL;DI Yogyakarta;Sumatera Selatan;9601
JAMBI;BENGKULU;DI Yogyakarta;Bengkulu;1489
JAMBI;LAMPUNG;DI Yogyakarta;Lampung;7288
JAMBI;BABEL;DI Yogyakarta;Kep  Bangka Belitung;1372
JAMBI;KEPRI;DI Yogyakarta;Kepulauan Riau;1227
JAMBI;JAKARTA;DI Yogyakarta;DKI Jakarta;16700
JAMBI;JABAR;DI Yogyakarta;Jawa Barat;23486
JAMBI;JATENG;DI Yogyakarta;Jawa Tengah;118984
JAMBI;YOGYA;DI Yogyakarta;DI Yogyakarta;1546046
JAMBI;JATIM;DI Yogyakarta;Jawa Timur;38555
JAMBI;BANTEN;DI Yogyakarta;Banten;3023
JAMBI;BALI;DI Yogyakarta;Bali;1688
JAMBI;NTB;DI Yogyakarta;Nusa Tenggara Barat;2657
JAMBI;NTT;DI Yogyakarta;Nusa Tenggara Timur;2897
JAMBI;KALBAR;DI Yogyakarta;Kalimantan Barat;3711
JAMBI;KALTENG;DI Yogyakarta;Kalimantan Tengah;887
JAMBI;KALSEL;DI Yogyakarta;Kalimantan Selatan;1914
JAMBI;KALTIM;DI Yogyakarta;Kalimantan Timur;2715
JAMBI;KALUT;DI Yogyakarta;Kalimantan Utara;1269
JAMBI;SULUT;DI Yogyakarta;Sulawesi Utara;817
JAMBI;SULTENG;DI Yogyakarta;Sulawesi Tengah;748
JAMBI;SULSEL;DI Yogyakarta;Sulawesi Selatan;2348
JAMBI;SULTENGG;DI Yogyakarta;Sulawesi Tenggara;2174
JAMBI;GORONTALO;DI Yogyakarta;Gorontalo;471
JAMBI;SULBARAT;DI Yogyakarta;Sulawesi Barat;216
JAMBI;MALUKU;DI Yogyakarta;Maluku;1542
JAMBI;MALUT;DI Yogyakarta;Maluku Utara;152
JAMBI;PAPBAR;DI Yogyakarta;Papua Barat;1455
JAMBI;PAPUA;DI Yogyakarta;Papua;3190
SUMSEL;ACEH;DKI Jakarta;Aceh;13487
SUMSEL;SUMUT;DKI Jakarta;Sumatera Utara;107244
SUMSEL;SUMBAR;DKI Jakarta;Sumatera Barat;71079
