kode,symbol,date,price
ACEH,AMZN,1971,2008595
ACEH,AMZN,1980,2611271
ACEH,AMZN,1990,3416156
ACEH,AMZN,1995,3847583
ACEH,AMZN,2000,3930905
ACEH,AMZN,2010,4494410
ACEH,AMZN,2015,5002000
BABEL,AMZN,2000,900197
BABEL,AMZN,2010,1223296
BABEL,AMZN,2015,1372800
BALI,AMZN,1971,2120322
BALI,AMZN,1980,2469930
BALI,AMZN,1990,2777811
BALI,AMZN,1995,2895649
BALI,AMZN,2000,3151162
BALI,AMZN,2010,3890757
BALI,AMZN,2015,4152800
BANTEN,AMZN,2000,8098780
BANTEN,AMZN,2010,10632166
BANTEN,AMZN,2015,11955200
BENGKULU,AMZN,1971,519316
BENGKULU,AMZN,1980,768064
BENGKULU,AMZN,1990,1179122
BENGKULU,AMZN,1995,1409117
BENGKULU,AMZN,2000,1567432
BENGKULU,AMZN,2010,1715518
BENGKULU,AMZN,2015,1874900
GORONTALO,AMZN,2010,1158651
GORONTALO,AMZN,2015,1282200
INDO,AMZN,1971,119208229
INDO,AMZN,1980,147490298
INDO,AMZN,1990,179378946
INDO,AMZN,1995,194754808
INDO,AMZN,2000,206264595
INDO,AMZN,2010,237641326
INDO,AMZN,2015,255462000
JABAR,AMZN,1971,21623529
JABAR,AMZN,1980,27453525
JABAR,AMZN,1990,35384352
JABAR,AMZN,1995,39206787
JABAR,AMZN,2000,35729537
JABAR,AMZN,2010,43053732
JABAR,AMZN,2015,46709600
JAKARTA,AMZN,1971,4579303
JAKARTA,AMZN,1980,6503449
JAKARTA,AMZN,1990,8259266
JAKARTA,AMZN,1995,9112652
JAKARTA,AMZN,2000,8389443
JAKARTA,AMZN,2010,9607787
JAKARTA,AMZN,2015,10177900
JAMBI,AMZN,1971,1006084
JAMBI,AMZN,1980,1445994
JAMBI,AMZN,1990,2020568
JAMBI,AMZN,1995,2369959
JAMBI,AMZN,2000,2413846
JAMBI,AMZN,2010,3092265
JAMBI,AMZN,2015,3402400
JATENG,AMZN,1971,21877136
JATENG,AMZN,1980,25372889
JATENG,AMZN,1990,28520643
JATENG,AMZN,1995,29653266
JATENG,AMZN,2000,31228940
JATENG,AMZN,2010,32382657
JATENG,AMZN,2015,33774100
JATIM,AMZN,1971,25516999
JATIM,AMZN,1980,29188852
JATIM,AMZN,1990,32503991
JATIM,AMZN,1995,33844002
JATIM,AMZN,2000,34783640
JATIM,AMZN,2010,37476757
JATIM,AMZN,2015,38847600
KALBAR,AMZN,1971,2019936
KALBAR,AMZN,1980,2486068
KALBAR,AMZN,1990,3229153
KALBAR,AMZN,1995,3635730
KALBAR,AMZN,2000,4034198
KALBAR,AMZN,2010,4395983
KALBAR,AMZN,2015,4789600
KALSEL,AMZN,1971,1699105
KALSEL,AMZN,1980,2064649
KALSEL,AMZN,1990,2597572
KALSEL,AMZN,1995,2893477
KALSEL,AMZN,2000,2985240
KALSEL,AMZN,2010,3626616
KALSEL,AMZN,2015,3989800
KALTENG,AMZN,1971,701936
KALTENG,AMZN,1980,954353
KALTENG,AMZN,1990,1396486
KALTENG,AMZN,1995,1627453
KALTENG,AMZN,2000,1857000
KALTENG,AMZN,2010,2212089
KALTENG,AMZN,2015,2495000
KALTIM,AMZN,1971,733797
KALTIM,AMZN,1980,1218016
KALTIM,AMZN,1990,1876663
KALTIM,AMZN,1995,2314183
KALTIM,AMZN,2000,2455120
KALTIM,AMZN,2010,3553143
KALTIM,AMZN,2015,4068600
KALUT,AMZN,1971,1718543
KALUT,AMZN,1980,2115384
KALUT,AMZN,1990,2478119
KALUT,AMZN,1995,2649093
KALUT,AMZN,2000,2012098
KALUT,AMZN,2010,2270596
KALUT,AMZN,2015,2412100
KEPRI,AMZN,2010,1679163
KEPRI,AMZN,2015,1973000
LAMPUNG,AMZN,1971,2777008
LAMPUNG,AMZN,1980,4624785
LAMPUNG,AMZN,1990,6017573
LAMPUNG,AMZN,1995,6657759
LAMPUNG,AMZN,2000,6741439
LAMPUNG,AMZN,2010,7608405
LAMPUNG,AMZN,2015,8117300
MALUKU,AMZN,2000,785059
MALUKU,AMZN,2010,1038087
MALUKU,AMZN,2015,1162300
MALUT,AMZN,2010,760422
MALUT,AMZN,2015,871500
NTB,AMZN,1971,2203465
NTB,AMZN,1980,2724664
NTB,AMZN,1990,3369649
NTB,AMZN,1995,3645713
NTB,AMZN,2000,4009261
NTB,AMZN,2010,4500212
NTB,AMZN,2015,4835600
NTT,AMZN,1971,2295287
NTT,AMZN,1980,2737166
NTT,AMZN,1990,3268644
NTT,AMZN,1995,3577472
NTT,AMZN,2000,3952279
NTT,AMZN,2010,4683827
NTT,AMZN,2015,5120100
PAPBAR,AMZN,1971,923440
PAPBAR,AMZN,1980,1173875
PAPBAR,AMZN,1990,1648708
PAPBAR,AMZN,1995,1942627
PAPBAR,AMZN,2000,2220934
PAPBAR,AMZN,2010,2833381
PAPBAR,AMZN,2015,3149400
PAPUA,AMZN,1971,119208229
PAPUA,AMZN,1980,147490298
PAPUA,AMZN,1990,179378946
PAPUA,AMZN,1995,194754808
PAPUA,AMZN,2000,206264595
PAPUA,AMZN,2010,237641326
PAPUA,AMZN,2015,10004000
RIAU,AMZN,1971,1641545
RIAU,AMZN,1980,2168535
RIAU,AMZN,1990,3303976
RIAU,AMZN,1995,3900534
RIAU,AMZN,2000,4957627
RIAU,AMZN,2010,5538367
RIAU,AMZN,2015,6344400
SULBARAT,AMZN,1971,1089565
