kode,symbol,date,price
ACEH,AMZN,1971,65835
ACEH,AMZN,1980,116010
ACEH,AMZN,1985,119178
ACEH,AMZN,1990,125563
ACEH,AMZN,1995,181574
ACEH,AMZN,2000,244314
ACEH,AMZN,2005,244314
ACEH,AMZN,2010,264194
ACEH,AMZN,2015,257736
BABEL,AMZN,2000,120027
BABEL,AMZN,2005,99223
BABEL,AMZN,2010,114379
BABEL,AMZN,2015,106125
BALI,AMZN,1971,57072
BALI,AMZN,1980,117828
BALI,AMZN,1985,159011
BALI,AMZN,1990,221599
BALI,AMZN,1995,230149
BALI,AMZN,2000,250724
BALI,AMZN,2005,248007
BALI,AMZN,2010,269245
BALI,AMZN,2015,264702
BANTEN,AMZN,2000,475440
BANTEN,AMZN,2005,444503
BANTEN,AMZN,2010,552987
BANTEN,AMZN,2015,579790
BENGKULU,AMZN,1971,24753
BENGKULU,AMZN,1980,39019
BENGKULU,AMZN,1985,39664
BENGKULU,AMZN,1990,46720
BENGKULU,AMZN,1995,66762
BENGKULU,AMZN,2000,73390
BENGKULU,AMZN,2005,82703
BENGKULU,AMZN,2010,110893
BENGKULU,AMZN,2015,110837
GORONTALO,AMZN,2000,113050
GORONTALO,AMZN,2005,100691
GORONTALO,AMZN,2010,117058
GORONTALO,AMZN,2015,103892
JABAR,AMZN,1971,1192987
JABAR,AMZN,1980,1487935
JABAR,AMZN,1985,1660517
JABAR,AMZN,1990,1751879
JABAR,AMZN,1995,1891615
JABAR,AMZN,2000,2046279
JABAR,AMZN,2005,1984620
JABAR,AMZN,2010,2514344
JABAR,AMZN,2015,2348128
JAKARTA,AMZN,1971,132215
JAKARTA,AMZN,1980,400767
JAKARTA,AMZN,1985,593936
JAKARTA,AMZN,1990,1052234
JAKARTA,AMZN,1995,1589285
JAKARTA,AMZN,2000,1836664
JAKARTA,AMZN,2005,2045630
JAKARTA,AMZN,2010,3000081
JAKARTA,AMZN,2015,2701145
JAMBI,AMZN,1971,27487
JAMBI,AMZN,1980,47151
JAMBI,AMZN,1985,50138
JAMBI,AMZN,1990,77299
JAMBI,AMZN,1995,112204
JAMBI,AMZN,2000,149376
JAMBI,AMZN,2005,134793
JAMBI,AMZN,2010,181189
JAMBI,AMZN,2015,197263
JATENG,AMZN,1971,1798001
JATENG,AMZN,1980,3227892
JATENG,AMZN,1985,3305362
JATENG,AMZN,1990,4524988
JATENG,AMZN,1995,5014822
JATENG,AMZN,2000,5354459
JATENG,AMZN,2005,5538952
JATENG,AMZN,2010,6829637
JATENG,AMZN,2015,6551768
JATIM,AMZN,1971,749848
JATIM,AMZN,1980,1597851
JATIM,AMZN,1985,1822761
JATIM,AMZN,1990,2479487
JATIM,AMZN,1995,2879389
JATIM,AMZN,2000,3063297
JATIM,AMZN,2005,3220158
JATIM,AMZN,2010,3864218
JATIM,AMZN,2015,3821692
KALBAR,AMZN,1971,35109
KALBAR,AMZN,1980,72358
KALBAR,AMZN,1985,72646
KALBAR,AMZN,1990,116735
KALBAR,AMZN,1995,126834
KALBAR,AMZN,2000,154620
KALBAR,AMZN,2005,156631
KALBAR,AMZN,2010,226982
KALBAR,AMZN,2015,185924
KALSEL,AMZN,1971,84257
KALSEL,AMZN,1980,169561
KALSEL,AMZN,1985,195946
KALSEL,AMZN,1990,201936
KALSEL,AMZN,1995,245595
KALSEL,AMZN,2000,255595
KALSEL,AMZN,2005,297766
KALSEL,AMZN,2010,312390
KALSEL,AMZN,2015,302936
KALTENG,AMZN,1971,11514
KALTENG,AMZN,1980,25086
KALTENG,AMZN,1985,35590
KALTENG,AMZN,1990,47700
KALTENG,AMZN,1995,57448
KALTENG,AMZN,2000,53291
KALTENG,AMZN,2005,87712
KALTENG,AMZN,2010,92935
KALTENG,AMZN,2015,105598
KALTIM,AMZN,1971,23723
KALTIM,AMZN,1980,34059
KALTIM,AMZN,1985,48115
KALTIM,AMZN,1990,63533
KALTIM,AMZN,1995,88646
KALTIM,AMZN,2000,90635
KALTIM,AMZN,2005,97498
KALTIM,AMZN,2010,148585
KALTIM,AMZN,2015,144527
KALUT,AMZN,2010,0
KALUT,AMZN,2015,43214
KEPRI,AMZN,2000,57416
KEPRI,AMZN,2005,9612
KEPRI,AMZN,2010,84751
KEPRI,AMZN,2015,99975
LAMPUNG,AMZN,1971,29728
LAMPUNG,AMZN,1980,57664
LAMPUNG,AMZN,1985,112144
LAMPUNG,AMZN,1990,167565
LAMPUNG,AMZN,1995,273061
LAMPUNG,AMZN,2000,385748
LAMPUNG,AMZN,2005,447476
LAMPUNG,AMZN,2010,713809
LAMPUNG,AMZN,2015,740854
MALUKU,AMZN,1971,36613
MALUKU,AMZN,1980,64725
MALUKU,AMZN,1985,83513
MALUKU,AMZN,1990,95361
MALUKU,AMZN,1995,135727
MALUKU,AMZN,2000,157066
MALUKU,AMZN,2005,170627
MALUKU,AMZN,2010,211980
MALUKU,AMZN,2015,215078
MALUT,AMZN,2000,43712
MALUT,AMZN,2005,47039
MALUT,AMZN,2010,62813
MALUT,AMZN,2015,61971
NTB,AMZN,1971,12764
NTB,AMZN,1980,44487
NTB,AMZN,1985,42163
NTB,AMZN,1990,96774
NTB,AMZN,1995,107261
NTB,AMZN,2000,145546
NTB,AMZN,2005,143435
NTB,AMZN,2010,197243
NTB,AMZN,2015,209269
NTT,AMZN,1971,26222
NTT,AMZN,1980,47534
NTT,AMZN,1985,58460
NTT,AMZN,1990,99442
NTT,AMZN,1995,118625
NTT,AMZN,2000,156602
NTT,AMZN,2005,173884
NTT,AMZN,2010,268998
NTT,AMZN,2015,253712
PAPBAR,AMZN,2000,28763
PAPBAR,AMZN,2005,29106
PAPBAR,AMZN,2010,48955
PAPBAR,AMZN,2015,51759
PAPUA,AMZN,1971,6449
PAPUA,AMZN,1980,15559
PAPUA,AMZN,1985,25495
PAPUA,AMZN,1990,30786
PAPUA,AMZN,1995,47356
PAPUA,AMZN,2000,43586
PAPUA,AMZN,2005,49668
PAPUA,AMZN,2010,87545
PAPUA,AMZN,2015,89261
RIAU,AMZN,1971,41636
RIAU,AMZN,1980,86540
RIAU,AMZN,1985,93745
RIAU,AMZN,1990,127672
RIAU,AMZN,1995,169941
RIAU,AMZN,2000,180778
RIAU,AMZN,2005,208049
RIAU,AMZN,2010,314303
RIAU,AMZN,2015,319558
SULBARAT,AMZN,2000,73360
SULBARAT,AMZN,2005,86027
SULBARAT,AMZN,2010,89607
SULBARAT,AMZN,2015,108643
SULSEL,AMZN,1971,241726
SULSEL,AMZN,1980,511725
SULSEL,AMZN,1985,541446
SULSEL,AMZN,1990,641961
SULSEL,AMZN,1995,792342
SULSEL,AMZN,2000,897616
SULSEL,AMZN,2005,1027275
