kode,symbol,date,price
ACEH,AMZN,1971,100.21
ACEH,AMZN,1980,101.49
ACEH,AMZN,1990,101.05
ACEH,AMZN,1995,100.01
ACEH,AMZN,2000,101.1
ACEH,AMZN,2010,100.2
ACEH,AMZN,2015,99.7
BABEL,AMZN,2000,104
BABEL,AMZN,2010,108
BABEL,AMZN,2015,108.1
BALI,AMZN,1971,97.94
BALI,AMZN,1980,98.39
BALI,AMZN,1990,99.46
BALI,AMZN,1995,100.21
BALI,AMZN,2000,101
BALI,AMZN,2010,101.7
BALI,AMZN,2015,101.4
BANTEN,AMZN,2000,101.5
BANTEN,AMZN,2010,104.7
BANTEN,AMZN,2015,104.1
BENGKULU,AMZN,1971,101.99
BENGKULU,AMZN,1980,103.23
BENGKULU,AMZN,1990,105.63
BENGKULU,AMZN,1995,101.85
BENGKULU,AMZN,2000,103.2
BENGKULU,AMZN,2010,104.6
BENGKULU,AMZN,2015,104.1
GORONTALO,AMZN,2000,101
GORONTALO,AMZN,2010,100.7
GORONTALO,AMZN,2015,100.4
INDO,AMZN,1971,97.18
INDO,AMZN,1980,98.82
INDO,AMZN,1990,99.45
INDO,AMZN,1995,99.09
INDO,AMZN,2000,100.6
INDO,AMZN,2010,101.4
INDO,AMZN,2015,101
JABAR,AMZN,1971,96.79
JABAR,AMZN,1980,99.12
JABAR,AMZN,1990,100.51
JABAR,AMZN,1995,100.82
JABAR,AMZN,2000,102.1
JABAR,AMZN,2010,103.6
JABAR,AMZN,2015,102.8
JAKARTA,AMZN,1971,102.13
JAKARTA,AMZN,1980,102.58
JAKARTA,AMZN,1990,101.95
JAKARTA,AMZN,1995,100.56
JAKARTA,AMZN,2000,102.5
JAKARTA,AMZN,2010,102.8
JAKARTA,AMZN,2015,101
JAMBI,AMZN,1971,107.45
JAMBI,AMZN,1980,105.65
JAMBI,AMZN,1990,104.32
JAMBI,AMZN,1995,101.65
JAMBI,AMZN,2000,104.2
JAMBI,AMZN,2010,105.5
JAMBI,AMZN,2015,104.2
JATENG,AMZN,1971,95.25
JATENG,AMZN,1980,96.62
JATENG,AMZN,1990,97.47
JATENG,AMZN,1995,96.76
JATENG,AMZN,2000,99.2
JATENG,AMZN,2010,98.8
JATENG,AMZN,2015,98.4
JATIM,AMZN,1971,94.32
JATIM,AMZN,1980,95.51
JATIM,AMZN,1990,95.96
JATIM,AMZN,1995,96.24
JATIM,AMZN,2000,97.9
JATIM,AMZN,2010,97.5
JATIM,AMZN,2015,97.4
KALBAR,AMZN,1971,104.21
KALBAR,AMZN,1980,103.49
KALBAR,AMZN,1990,103.85
KALBAR,AMZN,1995,104.81
KALBAR,AMZN,2000,104.7
KALBAR,AMZN,2010,104.6
KALBAR,AMZN,2015,103.8
KALSEL,AMZN,1971,96.31
KALSEL,AMZN,1980,98.82
KALSEL,AMZN,1990,99.63
KALSEL,AMZN,1995,99.39
KALSEL,AMZN,2000,100.5
KALSEL,AMZN,2010,102.6
KALSEL,AMZN,2015,102.8
KALTENG,AMZN,1971,101.75
KALTENG,AMZN,1980,106.32
KALTENG,AMZN,1990,106.63
KALTENG,AMZN,1995,104.91
KALTENG,AMZN,2000,106.8
KALTENG,AMZN,2010,109
KALTENG,AMZN,2015,109.3
KALTIM,AMZN,1971,106.96
KALTIM,AMZN,1980,111.64
KALTIM,AMZN,1990,110.91
KALTIM,AMZN,1995,106.23
KALTIM,AMZN,2000,109.7
KALTIM,AMZN,2010,111.3
KALTIM,AMZN,2015,110.3
KALUT,AMZN,2010,113.2
KALUT,AMZN,2015,113.2
KEPRI,AMZN,2010,105.5
KEPRI,AMZN,2015,104.4
LAMPUNG,AMZN,1971,102.33
LAMPUNG,AMZN,1980,107.28
LAMPUNG,AMZN,1990,105.51
LAMPUNG,AMZN,1995,104.89
LAMPUNG,AMZN,2000,106.2
LAMPUNG,AMZN,2010,106.1
LAMPUNG,AMZN,2015,105.2
MALUKU,AMZN,1971,103
MALUKU,AMZN,1980,104.43
MALUKU,AMZN,1990,103.82
MALUKU,AMZN,1995,102.98
MALUKU,AMZN,2000,102.8
MALUKU,AMZN,2010,102.3
MALUKU,AMZN,2015,101.8
MALUT,AMZN,2000,104.7
MALUT,AMZN,2010,104.9
MALUT,AMZN,2015,104.2
NTB,AMZN,1971,97.45
NTB,AMZN,1980,98.29
NTB,AMZN,1990,95.51
NTB,AMZN,1995,92.59
NTB,AMZN,2000,94.2
NTB,AMZN,2010,94.3
NTB,AMZN,2015,94.2
NTT,AMZN,1971,101.99
NTT,AMZN,1980,99.56
NTT,AMZN,1990,98.34
NTT,AMZN,1995,98.09
NTT,AMZN,2000,98.6
NTT,AMZN,2010,98.7
NTT,AMZN,2015,98.2
PAPBAR,AMZN,2010,112.4
PAPBAR,AMZN,2015,111.4
PAPUA,AMZN,1971,141.44
PAPUA,AMZN,1980,109.29
PAPUA,AMZN,1990,110.49
PAPUA,AMZN,1995,103.83
PAPUA,AMZN,2000,110.4
PAPUA,AMZN,2010,113.4
PAPUA,AMZN,2015,111.6
RIAU,AMZN,1971,104.63
RIAU,AMZN,1980,103.99
RIAU,AMZN,1990,105.16
RIAU,AMZN,1995,102.77
RIAU,AMZN,2000,104.4
RIAU,AMZN,2010,106.3
RIAU,AMZN,2015,105.5
SULBARAT,AMZN,2010,100.8
SULBARAT,AMZN,2015,100.6
SULSEL,AMZN,1971,94.77
SULSEL,AMZN,1980,94.94
SULSEL,AMZN,1990,95.5
SULSEL,AMZN,1995,94.88
SULSEL,AMZN,2000,95.1
SULSEL,AMZN,2010,95.5
SULSEL,AMZN,2015,95.4
SULTENG,AMZN,1971,104.63
SULTENG,AMZN,1980,106.44
SULTENG,AMZN,1990,105.08
SULTENG,AMZN,1995,102.67
SULTENG,AMZN,2000,104.7
SULTENG,AMZN,2010,105.2
SULTENG,AMZN,2015,104.4
SULTENGG,AMZN,1971,91.31
SULTENGG,AMZN,1980,96.89
SULTENGG,AMZN,1990,99.7
SULTENGG,AMZN,1995,96.61
SULTENGG,AMZN,2000,100.7
SULTENGG,AMZN,2010,101
SULTENGG,AMZN,2015,101
SULUT,AMZN,1971,100.57
SULUT,AMZN,1980,102.27
SULUT,AMZN,1990,102.74
SULUT,AMZN,1995,102.99
SULUT,AMZN,2000,104.9
SULUT,AMZN,2010,104.4
SULUT,AMZN,2015,104.2
SUMBAR,AMZN,1971,93.69
SUMBAR,AMZN,1980,95.53
SUMBAR,AMZN,1990,95.88
SUMBAR,AMZN,1995,94.07
SUMBAR,AMZN,2000,96.1
SUMBAR,AMZN,2010,98.4
SUMBAR,AMZN,2015,98.9
SUMSEL,AMZN,1971,99.51
SUMSEL,AMZN,1980,102.05
SUMSEL,AMZN,1990,101.19
SUMSEL,AMZN,1995,102.08
SUMSEL,AMZN,2000,101
SUMSEL,AMZN,2010,103.7
SUMSEL,AMZN,2015,103.3
SUMUT,AMZN,1971,101.32
SUMUT,AMZN,1980,100.72
SUMUT,AMZN,1990,99.76
SUMUT,AMZN,1995,99.24
SUMUT,AMZN,2000,99.8
SUMUT,AMZN,2010,99.8
SUMUT,AMZN,2015,99.6
YOGYA,AMZN,1971,94.28
YOGYA,AMZN,1980,96.25
YOGYA,AMZN,1990,96.71
YOGYA,AMZN,1995,98.34
YOGYA,AMZN,2000,98.3
YOGYA,AMZN,2010,97.7
YOGYA,AMZN,2015,97.8
